hang,mau,nam,so_km,dong_co,so_cho,gia_vnd,mau_xe,tinh_trang,loai_dong_co
Kia,Rio 1.4 AT,2016,113000,máy xăng 1.4 L,5,305000000,đỏ,Xe cũ,Xăng
Chevrolet,Spark LT 0.8 MT,2010,,máy xăng 0.8 L,5,59000000,trắng,Xe cũ,Xăng
Mercedes,Benz GLC 300 4Matic,2023,16000,máy xăng 2.0 L,5,2498000000,trắng,Xe cũ,Xăng
Kia,Carnival Luxury 2.2D,2021,62000,máy dầu 2.2 L,8,1020000000,trắng,Xe cũ,Dầu
Mercedes,Benz GLC 300 4Matic,2021,50000,máy xăng 2.0 L,5,1699000000,đen,Xe cũ,Xăng
Kia,Cerato 2.0 AT Premium,2021,40000,máy xăng 2.0 L,5,508000000,đen,Xe cũ,Xăng
Lexus,GX 460,2015,95000,máy xăng 4.6 L,7,2450000000,trắng,Xe cũ,Xăng
Porsche,Cayenne 3.0 V6,2020,29992,máy xăng 3.0 L,5,3669000000,xanh,Xe cũ,Xăng
Porsche,911 Carrera,2023,1800,máy xăng 3.0 L,4,8400000000,trắng,Xe cũ,Xăng
Porsche,911 Carrera,2023,1800,máy xăng 3.0 L,4,8400000000,trắng,Xe cũ,Xăng
Mazda,BT50 2.2L 4x4 MT,2015,110000,máy dầu 2.2 L,5,328000000,bạc,Xe cũ,Dầu
Kia,Sedona 2.2 DAT Luxury,2021,73000,máy dầu 2.2 L,7,885000000,đen,Xe cũ,Dầu
Ford,Explorer Limited 2.3L EcoBoost,2022,22000,máy xăng 2.3 L,7,1869000000,trắng,Xe cũ,Xăng
Mercedes,Benz E class E180,2022,,máy xăng 1.5 L,5,1250000000,đỏ,Xe cũ,Xăng
Toyota,Vios 1.5G,2019,50000,máy xăng 1.5 L,5,430000000,xám,Xe cũ,Xăng
Ford,Ranger Wildtrak 3.2L 4x4 AT,2015,85000,máy dầu 3.2 L,5,555000000,cam,Xe cũ,Dầu
VinFast,VF5 Plus,2025,3000,,5,499000000,trắng,Xe cũ,
Chevrolet,Spark LT 1.0 MT,2013,,máy xăng 1.0 L,5,115000000,bạc,Xe cũ,Xăng
Toyota,Yaris G 1.5 AT,2020,42000,máy xăng 1.5 L,5,550000000,trắng,Xe cũ,Xăng
Toyota,Vios 1.5G,2019,62000,máy xăng 1.5 L,5,405000000,bạc,Xe cũ,Xăng
Toyota,Land Cruiser 4.6 V8,2020,98000,máy xăng 4.6 L,8,4190000000,trắng,Xe cũ,Xăng
Toyota,Innova E 2.0 MT,2022,61000,máy xăng 2.0 L,8,630000000,nâu,Xe cũ,Xăng
Hyundai,SantaFe Cao cấp 2.2L HTRAC,2021,60000,máy dầu 2.2 L,7,948000000,xanh,Xe cũ,Dầu
Hyundai,Accent 1.4 AT Đặc Biệt,2022,22000,máy xăng 1.4 L,5,399000000,xanh,Xe cũ,Xăng
Hyundai,Accent 1.4 AT,2015,82000,máy xăng 1.4 L,5,305000000,trắng,Xe cũ,Xăng
Toyota,Innova 2.0G,2017,,máy xăng 2.0 L,8,475000000,bạc,Xe cũ,Xăng
Porsche,Cayenne 3.0 V6,2020,33000,máy xăng 3.0 L,5,3800000000,nâu,Xe cũ,Xăng
Kia,Sportage Signature X-Line 2.0D,2022,29000,máy dầu 2.0 L,5,885000000,trắng,Xe cũ,Dầu
Honda,City 1.5TOP,2018,60000,máy xăng 1.5 L,5,410000000,xanh,Xe cũ,Xăng
Honda,City 1.5TOP,2018,60000,máy xăng 1.5 L,5,410000000,xanh,Xe cũ,Xăng
Hyundai,Tucson 2.0 AT Đặc biệt,2022,,máy xăng 2.0 L,5,820000000,đen,Xe cũ,Xăng
Mercedes,Benz C class C300 AMG,2017,96000,máy xăng 2.0 L,5,799000000,trắng,Xe cũ,Xăng
Mitsubishi,Xpander 1.5 AT,2021,,máy xăng 1.5 L,7,538000000,trắng,Xe cũ,Xăng
Ford,Territory Titanium X 1.5 AT,2024,13000,máy xăng 1.5 L,5,879000000,đen,Xe cũ,Xăng
Hyundai,Accent 1.4 AT Đặc Biệt,2021,50000,máy xăng 1.4 L,5,445000000,đen,Xe cũ,Xăng
Toyota,Zace GL,1999,193000,máy xăng 1.8 L,8,92000000,xanh,Xe cũ,Xăng
Lexus,RX 350,2019,43000,máy xăng 3.5 L,5,2850000000,đỏ,Xe cũ,Xăng
BMW,X5 xDrive40i xLine,2019,60000,máy xăng 3.0 L,7,2456000000,trắng,Xe cũ,Xăng
Mercedes,Benz GLS 450 4Matic,2022,40000,máy xăng 3.0 L,7,4299000000,trắng,Xe cũ,Xăng
Hyundai,SantaFe Cao cấp 2.5L HTRAC,2022,24000,máy xăng 2.5 L,7,1068000000,trắng,Xe cũ,Xăng
VinFast,Fadil 1.4 AT Plus,2020,43000,máy xăng 1.4 L,5,325000000,xanh,Xe cũ,Xăng
Mercedes,Benz GLC 200,2018,,máy xăng 2.0 L,5,920000000,trắng,Xe cũ,Xăng
Honda,City RS 1.5 AT,2022,57000,máy xăng 1.5 L,5,485000000,trắng,Xe cũ,Xăng
Hyundai,Custin Đặc Biệt 1.5T,2023,17000,máy xăng 1.5 L,7,845000000,trắng,Xe cũ,Xăng
Ford,Ranger Wildtrak 3.2L 4x4 AT,2014,90000,máy dầu 3.2 L,5,435000000,cam,Xe cũ,Dầu
Toyota,Fortuner 2.7V 4x4 AT,2017,99866,máy xăng 2.7 L,7,725000000,trắng,Xe cũ,Xăng
Honda,HRV L,2018,78797,máy xăng 1.8 L,5,520000000,xanh,Xe cũ,Xăng
Mercedes,Benz GLS 450 4Matic,2022,40600,máy xăng 3.0 L,7,4178000000,đỏ,Xe cũ,Xăng
Toyota,Innova 2.0G,2017,79600,máy xăng 2.0 L,8,516000000,xám,Xe cũ,Xăng
Honda,City RS 1.5 AT,2022,57000,máy xăng 1.5 L,5,485000000,trắng,Xe cũ,Xăng
Hyundai,Custin Đặc Biệt 1.5T,2023,17000,máy xăng 1.5 L,7,845000000,trắng,Xe cũ,Xăng
Ford,Ranger Wildtrak 3.2L 4x4 AT,2014,90000,máy dầu 3.2 L,5,435000000,cam,Xe cũ,Dầu
Toyota,Fortuner 2.7V 4x4 AT,2017,99866,máy xăng 2.7 L,7,725000000,trắng,Xe cũ,Xăng
Honda,HRV L,2018,78797,máy xăng 1.8 L,5,520000000,xanh,Xe cũ,Xăng
Mercedes,Benz GLS 450 4Matic,2022,40600,máy xăng 3.0 L,7,4178000000,đỏ,Xe cũ,Xăng
Toyota,Innova 2.0G,2017,79600,máy xăng 2.0 L,8,516000000,xám,Xe cũ,Xăng
Ford,Everest Titanium 2.0L 4x2 AT,2023,5500,máy dầu 2.0 L,7,1279000000,cam,Xe cũ,Dầu
Honda,City G 1.5 AT,2022,,máy xăng 1.5 L,5,429000000,đen,Xe cũ,Xăng
Mitsubishi,Pajero Sport 3.0G 4x4 AT Premium,2018,900000,máy xăng 3.0 L,7,650000000,đen,Xe cũ,Xăng
BMW,X3 xDrive20i,2020,96000,máy xăng 2.0 L,5,1350000000,đen,Xe cũ,Xăng
Hyundai,Creta Tiêu chuẩn 1.5 AT,2023,25000,máy xăng 1.5 L,5,579000000,trắng,Xe cũ,Xăng
Mazda,6 Premium 2.0 AT,2020,83000,máy xăng 2.0 L,5,579000000,đỏ,Xe cũ,Xăng
Ford,Ranger Raptor 2.0L 4x4 AT,2023,19789,máy dầu 2.0 L,5,1200000000,xám,Xe cũ,Dầu
Mitsubishi,Xpander 1.5 AT,2022,49000,máy xăng 1.5 L,7,499000000,trắng,Xe cũ,Xăng
Toyota,Camry 2.0E,2013,120000,máy xăng 2.0 L,5,420000000,đen,Xe cũ,Xăng
Mitsubishi,Xpander Cross 1.5 AT,2020,62000,máy xăng 1.5 L,7,508000000,trắng,Xe cũ,Xăng
LandRover,Range Rover HSE 3.0,2015,100000,máy xăng 3.0 L,5,2180000000,đen,Xe cũ,Xăng
VinFast,Lux A 2.0 Tiêu chuẩn,2022,42000,máy xăng 2.0 L,5,615000000,trắng,Xe cũ,Xăng
Chevrolet,Trailblazer LTZ 2.5L VGT 4x4 AT,2018,80000,máy dầu 2.5 L,7,609000000,xám,Xe cũ,Dầu
Toyota,Camry 2.0E,2013,120000,máy xăng 2.0 L,5,420000000,đen,Xe cũ,Xăng
Mitsubishi,Xpander Cross 1.5 AT,2020,62000,máy xăng 1.5 L,7,508000000,trắng,Xe cũ,Xăng
LandRover,Range Rover HSE 3.0,2015,100000,máy xăng 3.0 L,5,2180000000,đen,Xe cũ,Xăng
VinFast,Lux A 2.0 Tiêu chuẩn,2022,42000,máy xăng 2.0 L,5,615000000,trắng,Xe cũ,Xăng
Chevrolet,Trailblazer LTZ 2.5L VGT 4x4 AT,2018,80000,máy dầu 2.5 L,7,609000000,xám,Xe cũ,Dầu
Audi,Q5 2.0 AT,2016,96000,máy xăng 2.0 L,5,829000000,trắng,Xe cũ,Xăng
Lexus,RX 350,2018,30000,máy xăng 3.5 L,5,2699000000,đen,Xe cũ,Xăng
Mercedes,Benz GLC 300 4Matic,2021,39000,máy xăng 2.0 L,5,1699000000,trắng,Xe cũ,Xăng
Mercedes,Benz S class S450L,2019,45000,máy xăng 3.0 L,5,2399000000,trắng,Xe cũ,Xăng
Audi,Q5 45 TFSI Quattro,2021,34000,máy xăng 2.0 L,5,1799000000,đen,Xe cũ,Xăng
Porsche,Cayenne 3.0 V6,2019,50000,máy xăng 3.0 L,5,3300000000,trắng,Xe cũ,Xăng
Mercedes,Benz C class C250 Exclusive,2015,86000,máy xăng 2.0 L,5,618000000,đen,Xe cũ,Xăng
Mercedes,Benz GLC 200 4Matic,2022,42000,máy xăng 2.0 L,5,1629000000,trắng,Xe cũ,Xăng
Mercedes,Benz C class C200 Exclusive,2019,60000,máy xăng 2.0 L,5,945000000,trắng,Xe cũ,Xăng
Nissan,Kicks e-Power V,2023,8000,,5,670000000,đỏ,Xe cũ,
Mazda,3 1.5L Deluxe,2020,69000,máy xăng 1.5 L,5,515000000,đen,Xe cũ,Xăng
Toyota,Avanza Premio 1.5 AT,2022,60000,máy xăng 1.5 L,7,499000000,trắng,Xe cũ,Xăng
Mercedes,Benz GLC 300 4Matic,2020,52000,máy xăng 2.0 L,5,1380000000,trắng,Xe cũ,Xăng
Mercedes,Benz E class E200 Exclusive,2020,58000,máy xăng 2.0 L,5,1179000000,trắng,Xe cũ,Xăng
Audi,A4 2.0 TFSI,2016,61000,máy xăng 2.0 L,5,690000000,đen,Xe cũ,Xăng
